Tahun Akademik,Prodi,Semester,Mata Kuliah,Dosen,Total Section,Attendance,Forum,Quiz,Assignment,Label,File,Link
TAHUN AKADEMIK 2025/2026,Teknik Informatika,Semester 1,Kalkulus,"Santi Arum Puspita Lestari, M.Pd",4,1,1,1,2,0,13,0
TAHUN AKADEMIK 2025/2026,Teknik Informatika,Semester 1,Pendidikan Pancasila,"Dr. Lusiana Rahmatiani, S.Pd., M.Pd",1,1,0,2,0,0,0,0
TAHUN AKADEMIK 2025/2026,Teknik Informatika,Semester 1,Pengantar Teknologi Informasi,"Kiki Ahmad Baihaqi, S.Kom., M.Kom",15,14,1,0,0,0,2,1
TAHUN AKADEMIK 2025/2026,Teknik Informatika,Semester 1,Statistika & Probabilitas,"Dwi Sulistya Kusumaningrum. S.Pd., M.Pd.",2,1,0,4,2,0,13,0
TAHUN AKADEMIK 2025/2026,Teknik Informatika,Semester 1,Bahasa Inggris IF,"Diana Friska, M.Pd",18,16,1,4,0,0,0,0
TAHUN AKADEMIK 2025/2026,Teknik Informatika,Semester 1,Pendidikan Agama,"Herdian Kertayasa, S.Pd.I., M.Pd",17,16,1,0,0,0,10,0
TAHUN AKADEMIK 2025/2026,Teknik Informatika,Semester 1,Algoritma,"Dr. Ahmad Fauzi, S.Kom., M.Kom., Nurhayati, M.Kom",10,17,1,4,8,0,13,0
TAHUN AKADEMIK 2025/2026,Teknik Informatika,Semester 3,Jatidiri Bangsa,"Dr. Lusiana Rahmatiani, S.Pd., M.Pd, Fitri Silvia Sofyan. S.Pd., M.Pd",3,1,1,0,1,0,0,0
TAHUN AKADEMIK 2025/2026,Teknik Informatika,Semester 3,Pemrograman Web,"Deden Wahiddin, S.Kom., M.Kom.",10,9,0,0,7,1,7,0
TAHUN AKADEMIK 2025/2026,Teknik Informatika,Semester 3,Analisis dan Desain Berorientasi Objek,"Ayu Ratna Juwita, S.Kom.,M.Kom, Cici Emilia Sukmawati, M.Kom",10,2,1,0,10,0,10,0
TAHUN AKADEMIK 2025/2026,Teknik Informatika,Semester 3,Basis Data,"API -REST, Muhammad Naufal Bahreisy, S.Kom., M.Kom",22,20,1,7,10,0,2,7
TAHUN AKADEMIK 2025/2026,Teknik Informatika,Semester 3,Pemrograman Berorientasi Objek,"Yusuf Eka Wicaksana, M.Kom",18,27,1,14,1,0,0,0
